model,params,mean_test_accuracy_score,mean_train_accuracy_score,ranking_test_accuracy_score
KNeighborsClassifier,"weights: distance, n_neighbors: 100, algorithm: kd_tree",0.48,1.0,-
KNeighborsClassifier,"weights: distance, n_neighbors: 50, algorithm: ball_tree",0.53,1.0,highest of its class
KNeighborsClassifier,"weights: distance, n_neighbors: 100, algorithm: auto",0.48,1.0,-
KNeighborsClassifier,"weights: uniform, n_neighbors: 200, algorithm: kd_tree",0.35,0.35,-
KNeighborsClassifier,"weights: uniform, n_neighbors: 100, algorithm: ball_tree",0.42,0.42,-
KNeighborsClassifier,"weights: distance, n_neighbors: 100, algorithm: ball_tree",0.48,1.0,-
KNeighborsClassifier,"weights: uniform, n_neighbors: 100, algorithm: kd_tree",0.42,0.42,-
AdaBoostClassifier,"n_estimators: 50, learning_rate: 0.5, algorithm: SAMME.R",0.36,0.43,lowest of its class
AdaBoostClassifier,"n_estimators: 50, learning_rate: 0.5, algorithm: SAMME",0.43,0.44,-
AdaBoostClassifier,"n_estimators: 100, learning_rate: 0.1, algorithm: SAMME.R",0.41,0.45,-
AdaBoostClassifier,"n_estimators: 200, learning_rate: 0.9, algorithm: SAMME.R",0.36,0.41,-
AdaBoostClassifier,"n_estimators: 50, learning_rate: 0.9, algorithm: SAMME",0.46,0.5,-
AdaBoostClassifier,"n_estimators: 200, learning_rate: 0.5, algorithm: SAMME.R",0.42,0.49,-
AdaBoostClassifier,"n_estimators: 200, learning_rate: 0.5, algorithm: SAMME",0.47,0.49,highest of its class
AdaBoostClassifier,"n_estimators: 50, learning_rate: 0.9, algorithm: SAMME.R",0.37,0.42,-
AdaBoostClassifier,"n_estimators: 50, learning_rate: 0.1, algorithm: SAMME",0.41,0.41,-
AdaBoostClassifier,"n_estimators: 100, learning_rate: 0.1, algorithm: SAMME",0.36,0.38,-
GaussianNB,var_smoothing: 1e-09,0.27,0.33,lowest of its class
GaussianNB,var_smoothing: 1e-05,0.35,0.42,-
GaussianNB,var_smoothing: 0.001,0.42,0.49,highest of its class
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: relu",0.5,0.54,lowest of its class
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: relu",0.54,0.65,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: relu",0.54,0.64,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: relu",0.54,0.88,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: tanh",0.52,0.56,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: tanh",0.54,0.62,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: tanh",0.54,0.62,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: tanh",0.56,0.82,highest of its class
