model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.1",1.14,0.97,0.08,0.41,0.08,0.41,2.45,1.64,highest of its class,lowest of its class,lowest of its class,highest of its class
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.5",1.14,0.97,0.08,0.41,0.08,0.41,2.45,1.64,-,-,-,-
AdaBoostRegressor,"n_estimators: 1, learning_rate: 1",1.14,0.97,0.08,0.41,0.08,0.41,2.45,1.64,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.1",1.0,0.91,0.28,0.49,0.28,0.49,1.93,1.43,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.5",0.99,0.88,0.33,0.52,0.32,0.52,1.8,1.33,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 1",1.03,0.88,0.29,0.54,0.29,0.54,1.9,1.29,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.1",0.92,0.89,0.38,0.52,0.38,0.52,1.65,1.34,lowest of its class,highest of its class,highest of its class,lowest of its class
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.5",1.0,0.85,0.31,0.57,0.31,0.57,1.84,1.2,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 1",1.03,0.85,0.27,0.61,0.27,0.6,1.94,1.12,-,-,-,-
GaussianProcessRegressor,alpha: 0.5,1.09,0.6,0.16,0.8,0.06,0.78,2.51,0.62,lowest of its class,highest of its class,lowest of its class,lowest of its class
GaussianProcessRegressor,alpha: 1,1.18,0.77,0.09,0.68,0.08,0.62,2.87,1.05,-,-,-,-
GaussianProcessRegressor,alpha: 1.5,1.26,0.89,0.02,0.59,0.2,0.49,3.21,1.43,highest of its class,lowest of its class,highest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 100",1.23,1.18,0.16,0.2,0.04,0.14,2.57,2.4,highest of its class,lowest of its class,lowest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 200",0.94,0.91,0.41,0.47,0.4,0.46,1.61,1.5,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 300",0.89,0.85,0.46,0.54,0.46,0.54,1.44,1.28,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 100",1.14,1.1,0.2,0.26,0.13,0.24,2.31,2.14,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 200",0.92,0.87,0.44,0.52,0.43,0.52,1.53,1.36,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 300",0.87,0.79,0.49,0.6,0.49,0.6,1.36,1.13,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 100",1.02,0.99,0.33,0.39,0.3,0.38,1.88,1.73,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 200",0.88,0.83,0.48,0.56,0.48,0.56,1.39,1.22,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 300",0.84,0.78,0.51,0.62,0.51,0.62,1.3,1.06,lowest of its class,highest of its class,highest of its class,lowest of its class
