model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",209.2,0.49,1.59,1.0,1.65,1.0,162688.42,20.54,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",275.11,0.51,6.62,1.0,6.82,1.0,480888.46,20.59,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",209.2,0.49,1.59,1.0,1.65,1.0,162688.42,20.54,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.5",217.62,0.48,1.83,1.0,1.86,1.0,176047.26,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: random, min_impurity_decrease: 0.9",275.11,0.51,6.62,1.0,6.82,1.0,480888.46,20.59,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.0",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.1",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.5",209.22,0.48,1.59,1.0,1.65,1.0,162692.06,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: friedman_mse, max_depth: 1000, splitter: best, min_impurity_decrease: 0.9",209.2,0.49,1.59,1.0,1.65,1.0,162688.42,20.54,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",238.27,0.48,6.19,1.0,6.28,1.0,447832.99,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",180.9,66.18,0.94,0.76,0.96,0.76,120555.28,41987.7,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",153.98,136.33,0.62,0.07,0.63,0.03,99997.21,166499.2,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",123.32,146.95,0.04,0.02,0.01,0.04,62092.49,178013.78,lowest of its class,-,lowest of its class,lowest of its class
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",181.93,0.48,0.89,1.0,0.9,1.0,117126.42,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",170.38,26.08,0.65,0.91,0.65,0.91,101321.46,15771.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",166.48,112.37,0.83,0.12,0.83,0.09,112564.39,155321.18,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",141.47,125.83,0.37,0.09,0.38,0.05,84649.16,162549.4,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",238.27,0.48,6.19,1.0,6.28,1.0,447832.99,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",180.9,66.18,0.94,0.76,0.96,0.76,120555.28,41987.7,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",153.98,136.33,0.62,0.07,0.63,0.03,99997.21,166499.2,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",123.32,146.95,0.04,0.02,0.01,0.04,62092.49,178013.78,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",181.93,0.48,0.89,1.0,0.9,1.0,117126.42,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",170.38,26.08,0.65,0.91,0.65,0.91,101321.46,15771.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",166.48,112.37,0.83,0.12,0.83,0.09,112564.39,155321.18,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",141.47,125.83,0.37,0.09,0.38,0.05,84649.16,162549.4,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",238.27,0.48,6.19,1.0,6.28,1.0,447832.99,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",180.9,66.18,0.94,0.76,0.96,0.76,120555.28,41987.7,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.5",153.98,136.33,0.62,0.07,0.63,0.03,99997.21,166499.2,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: random, min_impurity_decrease: 0.9",123.32,146.95,0.04,0.02,0.01,0.04,62092.49,178013.78,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.0",181.93,0.48,0.89,1.0,0.9,1.0,117126.42,20.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.1",170.38,26.08,0.65,0.91,0.65,0.91,101321.46,15771.53,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.5",166.48,112.37,0.83,0.12,0.83,0.09,112564.39,155321.18,-,-,-,-
DecisionTreeRegressor,"criterion: absolute_error, max_depth: 1000, splitter: best, min_impurity_decrease: 0.9",141.47,125.83,0.37,0.09,0.38,0.05,84649.16,162549.4,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: random, min_impurity_decrease: 0.0",268.69,8.17,6.4,0.96,6.64,0.96,469774.35,7222.4,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: random, min_impurity_decrease: 0.1",166.01,166.02,0.02,0.06,0.05,0.06,64830.76,161002.22,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: random, min_impurity_decrease: 0.5",165.89,174.72,0.0,0.01,0.04,0.01,63869.31,169159.42,-,lowest of its class,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: random, min_impurity_decrease: 0.9",165.89,174.72,0.0,0.01,0.04,0.01,63869.31,169159.42,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: best, min_impurity_decrease: 0.0",260.18,0.84,6.33,1.0,6.55,1.0,464600.78,29.6,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: best, min_impurity_decrease: 0.1",245.93,73.39,6.14,0.88,6.33,0.88,450831.34,20986.7,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: best, min_impurity_decrease: 0.5",185.29,168.65,0.51,0.05,0.59,0.05,97518.33,163305.97,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 100, splitter: best, min_impurity_decrease: 0.9",155.37,175.02,0.0,0.0,0.02,0.0,62928.47,171526.82,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: random, min_impurity_decrease: 0.0",268.69,8.17,6.4,0.96,6.64,0.96,469774.35,7222.4,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: random, min_impurity_decrease: 0.1",166.01,166.02,0.02,0.06,0.05,0.06,64830.76,161002.22,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: random, min_impurity_decrease: 0.5",165.89,174.72,0.0,0.01,0.04,0.01,63869.31,169159.42,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: random, min_impurity_decrease: 0.9",165.89,174.72,0.0,0.01,0.04,0.01,63869.31,169159.42,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: best, min_impurity_decrease: 0.0",260.18,0.84,6.33,1.0,6.55,1.0,464600.78,29.6,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: best, min_impurity_decrease: 0.1",245.93,73.39,6.14,0.88,6.33,0.88,450831.34,20986.7,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: best, min_impurity_decrease: 0.5",185.29,168.65,0.51,0.05,0.59,0.05,97518.33,163305.97,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 500, splitter: best, min_impurity_decrease: 0.9",155.37,175.02,0.0,0.0,0.02,0.0,62928.47,171526.82,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: random, min_impurity_decrease: 0.0",268.69,8.17,6.4,0.96,6.64,0.96,469774.35,7222.4,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: random, min_impurity_decrease: 0.1",166.01,166.02,0.02,0.06,0.05,0.06,64830.76,161002.22,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: random, min_impurity_decrease: 0.5",165.89,174.72,0.0,0.01,0.04,0.01,63869.31,169159.42,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: random, min_impurity_decrease: 0.9",165.89,174.72,0.0,0.01,0.04,0.01,63869.31,169159.42,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: best, min_impurity_decrease: 0.0",260.18,0.84,6.33,1.0,6.55,1.0,464600.78,29.6,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: best, min_impurity_decrease: 0.1",245.93,73.39,6.14,0.88,6.33,0.88,450831.34,20986.7,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: best, min_impurity_decrease: 0.5",185.29,168.65,0.51,0.05,0.59,0.05,97518.33,163305.97,-,-,-,-
DecisionTreeRegressor,"criterion: poisson, max_depth: 1000, splitter: best, min_impurity_decrease: 0.9",155.37,175.02,0.0,0.0,0.02,0.0,62928.47,171526.82,-,-,-,-
RandomForestRegressor,"criterion: squared_error, max_depth: 50, n_estimators: 100, max_features: auto",200.74,71.98,0.64,0.86,0.76,0.86,108461.49,24550.96,-,-,-,-
RandomForestRegressor,"criterion: squared_error, max_depth: 50, n_estimators: 200, max_features: auto",200.48,72.95,0.54,0.85,0.67,0.85,102773.28,25719.32,-,-,-,-
RandomForestRegressor,"criterion: squared_error, max_depth: 100, n_estimators: 100, max_features: auto",200.74,71.98,0.64,0.86,0.76,0.86,108461.49,24550.96,-,-,-,-
RandomForestRegressor,"criterion: squared_error, max_depth: 100, n_estimators: 200, max_features: auto",200.48,72.95,0.54,0.85,0.67,0.85,102773.28,25719.32,-,-,-,-
RandomForestRegressor,"criterion: squared_error, max_depth: 200, n_estimators: 100, max_features: auto",200.74,71.98,0.64,0.86,0.76,0.86,108461.49,24550.96,-,-,-,-
RandomForestRegressor,"criterion: squared_error, max_depth: 200, n_estimators: 200, max_features: auto",200.48,72.95,0.54,0.85,0.67,0.85,102773.28,25719.32,-,-,-,-
RandomForestRegressor,"criterion: friedman_mse, max_depth: 50, n_estimators: 100, max_features: auto",200.73,71.98,0.64,0.86,0.76,0.86,108459.67,24551.52,-,-,-,-
RandomForestRegressor,"criterion: friedman_mse, max_depth: 50, n_estimators: 200, max_features: auto",200.47,72.95,0.54,0.85,0.67,0.85,102758.16,25719.8,-,-,-,-
RandomForestRegressor,"criterion: friedman_mse, max_depth: 100, n_estimators: 100, max_features: auto",200.73,71.98,0.64,0.86,0.76,0.86,108459.67,24551.52,-,-,-,-
RandomForestRegressor,"criterion: friedman_mse, max_depth: 100, n_estimators: 200, max_features: auto",200.47,72.95,0.54,0.85,0.67,0.85,102758.16,25719.8,-,-,-,-
RandomForestRegressor,"criterion: friedman_mse, max_depth: 200, n_estimators: 100, max_features: auto",200.73,71.98,0.64,0.86,0.76,0.86,108459.67,24551.52,-,-,-,-
RandomForestRegressor,"criterion: friedman_mse, max_depth: 200, n_estimators: 200, max_features: auto",200.47,72.95,0.54,0.85,0.67,0.85,102758.16,25719.8,-,-,-,-
RandomForestRegressor,"criterion: absolute_error, max_depth: 50, n_estimators: 100, max_features: auto",183.24,75.65,0.19,0.84,0.27,0.84,78167.98,27866.83,lowest of its class,lowest of its class,lowest of its class,lowest of its class
RandomForestRegressor,"criterion: absolute_error, max_depth: 50, n_estimators: 200, max_features: auto",186.37,74.88,0.2,0.84,0.29,0.84,79355.54,28220.89,-,-,-,-
RandomForestRegressor,"criterion: absolute_error, max_depth: 100, n_estimators: 100, max_features: auto",183.24,75.65,0.19,0.84,0.27,0.84,78167.98,27866.83,-,-,-,-
RandomForestRegressor,"criterion: absolute_error, max_depth: 100, n_estimators: 200, max_features: auto",186.37,74.88,0.2,0.84,0.29,0.84,79355.54,28220.89,-,-,-,-
RandomForestRegressor,"criterion: absolute_error, max_depth: 200, n_estimators: 100, max_features: auto",183.24,75.65,0.19,0.84,0.27,0.84,78167.98,27866.83,-,-,-,-
RandomForestRegressor,"criterion: absolute_error, max_depth: 200, n_estimators: 200, max_features: auto",186.37,74.88,0.2,0.84,0.29,0.84,79355.54,28220.89,-,-,-,-
RandomForestRegressor,"criterion: poisson, max_depth: 50, n_estimators: 100, max_features: auto",232.72,77.89,1.19,0.85,1.48,0.85,152295.89,25171.31,highest of its class,highest of its class,highest of its class,highest of its class
RandomForestRegressor,"criterion: poisson, max_depth: 50, n_estimators: 200, max_features: auto",229.14,78.45,0.99,0.84,1.26,0.84,139073.72,27087.53,-,-,-,-
RandomForestRegressor,"criterion: poisson, max_depth: 100, n_estimators: 100, max_features: auto",232.72,77.89,1.19,0.85,1.48,0.85,152295.89,25171.31,-,-,-,-
RandomForestRegressor,"criterion: poisson, max_depth: 100, n_estimators: 200, max_features: auto",229.14,78.45,0.99,0.84,1.26,0.84,139073.72,27087.53,-,-,-,-
RandomForestRegressor,"criterion: poisson, max_depth: 200, n_estimators: 100, max_features: auto",232.72,77.89,1.19,0.85,1.48,0.85,152295.89,25171.31,-,-,-,-
RandomForestRegressor,"criterion: poisson, max_depth: 200, n_estimators: 200, max_features: auto",229.14,78.45,0.99,0.84,1.26,0.84,139073.72,27087.53,-,-,-,-
KNeighborsRegressor,"weights: uniform, algorithm: auto, n_neighbors: 50",165.51,180.07,0.04,0.03,0.02,0.03,62570.49,166226.7,highest of its class,-,-,-
KNeighborsRegressor,"weights: uniform, algorithm: auto, n_neighbors: 100",158.19,175.78,0.06,0.02,0.02,0.02,60332.76,167698.51,-,highest of its class,-,-
KNeighborsRegressor,"weights: uniform, algorithm: auto, n_neighbors: 200",158.28,178.68,0.03,0.01,0.01,0.01,61873.22,169774.82,-,-,lowest of its class,-
KNeighborsRegressor,"weights: uniform, algorithm: ball_tree, n_neighbors: 50",165.47,180.07,0.04,0.03,0.02,0.03,62556.46,166231.4,-,-,-,-
KNeighborsRegressor,"weights: uniform, algorithm: ball_tree, n_neighbors: 100",158.19,175.78,0.06,0.02,0.02,0.02,60332.66,167699.03,-,-,-,-
KNeighborsRegressor,"weights: uniform, algorithm: ball_tree, n_neighbors: 200",158.28,178.67,0.03,0.01,0.01,0.01,61873.22,169773.24,-,-,-,-
KNeighborsRegressor,"weights: distance, algorithm: auto, n_neighbors: 50",161.95,0.48,0.02,1.0,0.03,1.0,63513.3,20.53,-,lowest of its class,highest of its class,highest of its class
KNeighborsRegressor,"weights: distance, algorithm: auto, n_neighbors: 100",155.25,0.48,0.06,1.0,0.02,1.0,60213.17,20.53,-,-,-,-
KNeighborsRegressor,"weights: distance, algorithm: auto, n_neighbors: 200",154.09,0.25,0.05,1.0,0.01,1.0,60634.84,11.53,lowest of its class,-,-,-
KNeighborsRegressor,"weights: distance, algorithm: ball_tree, n_neighbors: 50",161.92,0.48,0.02,1.0,0.03,1.0,63502.69,20.53,-,-,-,-
KNeighborsRegressor,"weights: distance, algorithm: ball_tree, n_neighbors: 100",155.25,0.48,0.06,1.0,0.02,1.0,60213.1,20.53,-,-,-,lowest of its class
KNeighborsRegressor,"weights: distance, algorithm: ball_tree, n_neighbors: 200",154.09,0.48,0.05,1.0,0.01,1.0,60634.84,20.53,-,-,-,-
AdaBoostRegressor,"n_estimators: 50, learning_rate: 0.1, loss: linear",175.11,175.84,0.27,0.6,0.38,0.58,84845.04,71581.39,-,-,-,-
AdaBoostRegressor,"n_estimators: 50, learning_rate: 0.1, loss: square",149.29,151.2,0.02,0.61,0.01,0.61,61911.81,67725.35,lowest of its class,-,lowest of its class,-
AdaBoostRegressor,"n_estimators: 50, learning_rate: 0.1, loss: exponential",168.62,172.47,0.01,0.56,0.07,0.55,65820.69,77508.97,-,lowest of its class,-,-
AdaBoostRegressor,"n_estimators: 50, learning_rate: 0.5, loss: linear",253.22,273.21,0.16,0.54,0.72,0.32,105800.3,115991.28,-,-,-,-
AdaBoostRegressor,"n_estimators: 50, learning_rate: 0.5, loss: square",188.61,197.4,0.04,0.65,0.12,0.59,68698.5,70992.74,-,-,-,-
AdaBoostRegressor,"n_estimators: 50, learning_rate: 0.5, loss: exponential",260.77,267.3,0.26,0.57,0.85,0.36,113601.66,109424.11,-,-,-,-
AdaBoostRegressor,"n_estimators: 50, learning_rate: 0.9, loss: linear",231.79,238.86,0.04,0.6,0.45,0.46,89001.82,92029.16,-,-,-,-
