model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_recall_score,mean_train_recall_score,mean_test_average_precision_score,mean_train_average_precision_score,mean_test_roc_auc_score,mean_train_roc_auc_score,ranking_test_accuracy_score,ranking_test_recall_score,ranking_test_average_precision_score,ranking_test_roc_auc_score
DecisionTreeClassifier,"splitter: best, max_features: log2, max_depth: 1000, criterion: gini",0.67,1.0,0.44,1.0,0.37,1.0,0.6,1.0,-,-,-,-
DecisionTreeClassifier,"splitter: best, max_features: sqrt, max_depth: 100, criterion: gini",0.67,1.0,0.44,1.0,0.37,1.0,0.6,1.0,-,-,-,-
DecisionTreeClassifier,"splitter: random, max_features: log2, max_depth: 100, criterion: entropy",0.67,1.0,0.45,1.0,0.39,1.0,0.61,1.0,-,-,-,-
DecisionTreeClassifier,"splitter: random, max_features: sqrt, max_depth: 10, criterion: entropy",0.61,0.89,0.45,0.98,0.34,0.74,0.57,0.91,-,-,lowest of its class,-
DecisionTreeClassifier,"splitter: best, max_features: auto, max_depth: 10, criterion: gini",0.69,0.94,0.56,0.99,0.41,0.83,0.65,0.95,highest of its class,highest of its class,highest of its class,highest of its class
DecisionTreeClassifier,"splitter: random, max_features: auto, max_depth: 100, criterion: entropy",0.67,1.0,0.45,1.0,0.39,1.0,0.61,1.0,-,-,-,-
DecisionTreeClassifier,"splitter: random, max_features: auto, max_depth: 10, criterion: entropy",0.61,0.89,0.45,0.98,0.34,0.74,0.57,0.91,-,-,-,-
DecisionTreeClassifier,"splitter: random, max_features: auto, max_depth: 1000, criterion: entropy",0.67,1.0,0.45,1.0,0.39,1.0,0.61,1.0,-,-,-,-
DecisionTreeClassifier,"splitter: best, max_features: log2, max_depth: 10, criterion: entropy",0.58,0.91,0.49,1.0,0.34,0.78,0.56,0.94,lowest of its class,-,-,lowest of its class
RandomForestClassifier,"n_estimators: 50, max_features: auto, max_depth: 200, criterion: entropy",0.78,1.0,0.44,1.0,0.49,1.0,0.68,1.0,highest of its class,highest of its class,highest of its class,highest of its class
RandomForestClassifier,"n_estimators: 200, max_features: auto, max_depth: 200, criterion: gini",0.77,1.0,0.37,1.0,0.48,1.0,0.66,1.0,-,-,-,-
RandomForestClassifier,"n_estimators: 50, max_features: auto, max_depth: 50, criterion: gini",0.76,1.0,0.35,1.0,0.45,1.0,0.64,1.0,lowest of its class,lowest of its class,lowest of its class,lowest of its class
RandomForestClassifier,"n_estimators: 200, max_features: auto, max_depth: 200, criterion: entropy",0.76,1.0,0.39,1.0,0.47,1.0,0.66,1.0,-,-,-,-
RandomForestClassifier,"n_estimators: 100, max_features: auto, max_depth: 200, criterion: gini",0.77,1.0,0.4,1.0,0.48,1.0,0.67,1.0,-,-,-,-
RandomForestClassifier,"n_estimators: 50, max_features: auto, max_depth: 200, criterion: gini",0.76,1.0,0.35,1.0,0.45,1.0,0.64,1.0,-,-,-,-
RandomForestClassifier,"n_estimators: 200, max_features: auto, max_depth: 50, criterion: gini",0.77,1.0,0.37,1.0,0.48,1.0,0.66,1.0,-,-,-,-
RandomForestClassifier,"n_estimators: 200, max_features: auto, max_depth: 100, criterion: entropy",0.76,1.0,0.39,1.0,0.47,1.0,0.66,1.0,-,-,-,-
RandomForestClassifier,"n_estimators: 50, max_features: auto, max_depth: 50, criterion: entropy",0.78,1.0,0.44,1.0,0.49,1.0,0.68,1.0,-,-,-,-
RandomForestClassifier,"n_estimators: 200, max_features: auto, max_depth: 50, criterion: entropy",0.76,1.0,0.39,1.0,0.47,1.0,0.66,1.0,-,-,-,-
KNeighborsClassifier,"weights: uniform, n_neighbors: 50, algorithm: ball_tree",0.7,0.7,0.0,0.0,0.3,0.3,0.5,0.5,lowest of its class,lowest of its class,lowest of its class,lowest of its class
KNeighborsClassifier,"weights: uniform, n_neighbors: 200, algorithm: ball_tree",0.7,0.7,0.0,0.0,0.3,0.3,0.5,0.5,-,-,-,-
KNeighborsClassifier,"weights: distance, n_neighbors: 50, algorithm: ball_tree",0.7,1.0,0.0,1.0,0.3,1.0,0.5,1.0,-,-,-,-
KNeighborsClassifier,"weights: uniform, n_neighbors: 50, algorithm: auto",0.7,0.7,0.0,0.0,0.3,0.3,0.5,0.5,-,-,-,-
KNeighborsClassifier,"weights: distance, n_neighbors: 200, algorithm: auto",0.7,1.0,0.0,1.0,0.3,1.0,0.5,1.0,-,-,-,-
KNeighborsClassifier,"weights: distance, n_neighbors: 50, algorithm: auto",0.7,1.0,0.0,1.0,0.3,1.0,0.5,1.0,-,-,-,-
KNeighborsClassifier,"weights: uniform, n_neighbors: 200, algorithm: kd_tree",0.7,0.7,0.0,0.0,0.3,0.3,0.5,0.5,-,-,-,-
KNeighborsClassifier,"weights: distance, n_neighbors: 200, algorithm: kd_tree",0.7,1.0,0.0,1.0,0.3,1.0,0.5,1.0,-,-,-,-
KNeighborsClassifier,"weights: uniform, n_neighbors: 200, algorithm: auto",0.7,0.7,0.0,0.0,0.3,0.3,0.5,0.5,-,-,-,-
KNeighborsClassifier,"weights: distance, n_neighbors: 100, algorithm: ball_tree",0.7,1.0,0.0,1.0,0.3,1.0,0.5,1.0,-,-,-,-
AdaBoostClassifier,"n_estimators: 50, learning_rate: 0.1, algorithm: SAMME",0.71,0.74,0.11,0.15,0.34,0.38,0.54,0.57,lowest of its class,lowest of its class,lowest of its class,lowest of its class
AdaBoostClassifier,"n_estimators: 100, learning_rate: 0.1, algorithm: SAMME",0.72,0.76,0.17,0.24,0.36,0.42,0.56,0.61,-,-,-,-
AdaBoostClassifier,"n_estimators: 200, learning_rate: 0.9, algorithm: SAMME",0.75,0.88,0.49,0.73,0.48,0.71,0.68,0.84,-,highest of its class,highest of its class,highest of its class
AdaBoostClassifier,"n_estimators: 100, learning_rate: 0.5, algorithm: SAMME",0.76,0.84,0.44,0.62,0.48,0.62,0.67,0.78,highest of its class,-,-,-
AdaBoostClassifier,"n_estimators: 200, learning_rate: 0.1, algorithm: SAMME.R",0.75,0.86,0.47,0.67,0.48,0.66,0.67,0.81,-,-,-,-
AdaBoostClassifier,"n_estimators: 100, learning_rate: 0.9, algorithm: SAMME",0.75,0.86,0.48,0.69,0.47,0.66,0.67,0.81,-,-,-,-
AdaBoostClassifier,"n_estimators: 200, learning_rate: 0.9, algorithm: SAMME.R",0.72,0.96,0.44,0.91,0.41,0.89,0.64,0.95,-,-,-,-
AdaBoostClassifier,"n_estimators: 50, learning_rate: 0.1, algorithm: SAMME.R",0.75,0.79,0.33,0.42,0.43,0.51,0.63,0.69,-,-,-,-
AdaBoostClassifier,"n_estimators: 100, learning_rate: 0.1, algorithm: SAMME.R",0.75,0.84,0.4,0.59,0.44,0.6,0.65,0.77,-,-,-,-
AdaBoostClassifier,"n_estimators: 200, learning_rate: 0.5, algorithm: SAMME.R",0.74,0.92,0.49,0.83,0.44,0.8,0.67,0.9,-,-,-,-
GaussianNB,var_smoothing: 1e-09,0.59,0.6,0.77,0.85,0.41,0.43,0.64,0.67,lowest of its class,lowest of its class,lowest of its class,lowest of its class
GaussianNB,var_smoothing: 1e-05,0.6,0.62,0.77,0.84,0.42,0.44,0.65,0.69,-,-,-,-
GaussianNB,var_smoothing: 0.001,0.64,0.69,0.77,0.83,0.43,0.47,0.68,0.73,highest of its class,-,highest of its class,highest of its class
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: relu",0.75,0.78,0.28,0.38,0.43,0.49,0.61,0.67,-,lowest of its class,-,lowest of its class
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: relu",0.76,0.91,0.52,0.79,0.48,0.78,0.69,0.88,highest of its class,highest of its class,highest of its class,highest of its class
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: relu",0.76,0.91,0.52,0.78,0.48,0.77,0.69,0.87,-,-,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: relu",0.74,1.0,0.52,1.0,0.45,1.0,0.67,1.0,-,-,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: tanh",0.76,0.79,0.49,0.55,0.48,0.52,0.68,0.73,-,-,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: tanh",0.75,0.82,0.49,0.62,0.46,0.58,0.68,0.77,-,-,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: tanh",0.75,0.84,0.49,0.67,0.45,0.62,0.68,0.79,-,-,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: tanh",0.72,1.0,0.49,1.0,0.42,1.0,0.65,1.0,lowest of its class,-,lowest of its class,-
