model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
AdaBoostRegressor,"n_estimators: 10, learning_rate: 1",0.62,0.56,0.28,0.34,0.26,0.33,0.62,0.51,-,highest of its class,highest of its class,lowest of its class
GaussianProcessRegressor,alpha: 0.5,1.11,0.5,1.51,0.57,2.22,0.45,2.69,0.42,lowest of its class,lowest of its class,lowest of its class,lowest of its class
GaussianProcessRegressor,alpha: 1,1.27,0.74,1.79,0.1,2.85,0.26,3.23,0.96,-,-,-,-
GaussianProcessRegressor,alpha: 1.5,1.39,0.92,2.02,0.32,3.43,0.95,3.7,1.49,highest of its class,highest of its class,highest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 100",0.6,0.54,0.26,0.36,0.26,0.36,0.62,0.49,highest of its class,lowest of its class,lowest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 200",0.58,0.51,0.34,0.44,0.34,0.44,0.55,0.43,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 300",0.57,0.49,0.35,0.48,0.35,0.48,0.54,0.4,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 100",0.58,0.51,0.35,0.43,0.35,0.43,0.55,0.44,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 200",0.57,0.48,0.36,0.5,0.35,0.5,0.54,0.38,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 300",0.56,0.46,0.36,0.55,0.36,0.54,0.54,0.35,lowest of its class,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 100",0.58,0.5,0.36,0.45,0.35,0.45,0.54,0.42,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 200",0.56,0.47,0.38,0.52,0.38,0.52,0.52,0.37,-,highest of its class,highest of its class,lowest of its class
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 300",0.56,0.44,0.37,0.57,0.37,0.57,0.52,0.33,-,-,-,-
