model,params,mean_test_mean_absolute_error,mean_train_mean_absolute_error,mean_test_explained_variance_score,mean_train_explained_variance_score,mean_test_r2_score,mean_train_r2_score,mean_test_mean_squared_error,mean_train_mean_squared_error,ranking_test_ranking_absolute_error,ranking_test_explained_variance_score,ranking_test_r2_score,ranking_test_ranking_squared_error
RandomForestRegressor,"max_depth: 5, n_estimators: 10",5.18,4.55,0.83,0.88,0.83,0.88,43.23,33.2,-,-,-,-
RandomForestRegressor,"max_depth: 5, n_estimators: 100",4.96,4.42,0.84,0.89,0.84,0.89,40.29,30.87,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 1",5.57,2.42,0.75,0.9,0.75,0.9,64.31,27.48,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 10",3.96,1.82,0.88,0.98,0.88,0.98,30.64,6.89,-,-,-,-
RandomForestRegressor,"max_depth: 10, n_estimators: 100",3.56,1.62,0.9,0.98,0.9,0.98,25.66,5.56,lowest of its class,highest of its class,highest of its class,lowest of its class
KNeighborsRegressor,"weights: uniform, n_neighbors: 1",6.64,0.06,0.66,0.99,0.65,0.99,89.0,1.49,-,-,-,-
KNeighborsRegressor,"weights: uniform, n_neighbors: 5",7.18,5.51,0.66,0.82,0.66,0.82,85.65,51.05,-,-,-,-
KNeighborsRegressor,"weights: uniform, n_neighbors: 10",7.56,6.62,0.63,0.75,0.63,0.75,94.24,72.08,highest of its class,lowest of its class,lowest of its class,highest of its class
KNeighborsRegressor,"weights: distance, n_neighbors: 1",6.64,0.06,0.66,0.99,0.65,0.99,89.0,1.49,-,-,-,-
KNeighborsRegressor,"weights: distance, n_neighbors: 5",6.13,0.08,0.73,1.0,0.72,1.0,70.64,1.1,lowest of its class,highest of its class,highest of its class,-
KNeighborsRegressor,"weights: distance, n_neighbors: 10",6.2,0.08,0.72,1.0,0.72,1.0,70.56,1.1,-,-,-,lowest of its class
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.1",7.53,8.17,0.63,0.62,0.63,0.62,94.7,108.35,highest of its class,lowest of its class,lowest of its class,highest of its class
AdaBoostRegressor,"n_estimators: 1, learning_rate: 0.5",7.53,8.17,0.63,0.62,0.63,0.62,94.7,108.35,-,-,-,-
AdaBoostRegressor,"n_estimators: 1, learning_rate: 1",7.53,8.17,0.63,0.62,0.63,0.62,94.7,108.35,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.1",7.12,7.47,0.68,0.68,0.68,0.68,81.23,90.3,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 0.5",6.84,7.03,0.71,0.74,0.7,0.74,75.2,75.81,-,-,-,-
AdaBoostRegressor,"n_estimators: 5, learning_rate: 1",6.5,6.67,0.74,0.76,0.73,0.76,67.58,68.54,lowest of its class,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.1",6.85,6.79,0.71,0.75,0.7,0.75,75.34,72.57,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 0.5",6.5,6.52,0.74,0.77,0.73,0.77,67.72,64.66,-,-,-,-
AdaBoostRegressor,"n_estimators: 10, learning_rate: 1",6.6,6.64,0.75,0.78,0.74,0.77,66.04,64.76,-,highest of its class,highest of its class,lowest of its class
GaussianProcessRegressor,alpha: 0.5,5.32,3.86,0.77,0.92,0.75,0.91,63.25,26.16,lowest of its class,highest of its class,highest of its class,lowest of its class
GaussianProcessRegressor,alpha: 1,6.3,5.21,0.71,0.85,0.67,0.83,84.15,49.76,-,-,-,-
GaussianProcessRegressor,alpha: 1.5,7.16,6.25,0.65,0.79,0.59,0.74,105.48,73.94,highest of its class,lowest of its class,lowest of its class,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 100",16.28,17.5,0.41,0.37,0.51,0.57,383.36,448.81,highest of its class,-,-,highest of its class
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 200",10.33,10.75,0.41,0.41,0.38,0.39,156.74,174.52,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 50, max_iter: 300",9.29,9.54,0.51,0.53,0.5,0.53,127.13,135.14,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 100",12.03,12.63,0.35,0.33,0.17,0.16,212.34,241.37,-,lowest of its class,lowest of its class,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 200",9.44,9.72,0.5,0.51,0.49,0.51,130.78,141.26,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 100, max_iter: 300",8.03,8.16,0.62,0.65,0.61,0.65,98.28,100.51,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 100",10.73,11.1,0.37,0.38,0.33,0.34,170.14,188.26,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 200",9.04,9.19,0.53,0.56,0.52,0.56,121.9,126.05,-,-,-,-
MLPRegressor,"hidden_layer_sizes: 150, max_iter: 300",7.14,7.09,0.68,0.73,0.68,0.73,82.61,78.6,lowest of its class,highest of its class,highest of its class,lowest of its class
