model,params,mean_test_accuracy_score,mean_train_accuracy_score,mean_test_precision_score,mean_train_precision_score,ranking_test_accuracy_score,ranking_test_precision_score
GaussianNB,var_smoothing: 1e-05,0.77,0.77,0.48,0.48,-,-
GaussianNB,var_smoothing: 0.001,0.77,0.77,0.48,0.48,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: relu",0.81,0.82,0.66,0.7,highest of its class,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: relu",0.81,0.84,0.63,0.74,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: relu",0.81,0.84,0.61,0.74,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: relu",0.78,0.89,0.5,0.84,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.001, activation: tanh",0.81,0.81,0.67,0.68,-,highest of its class
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.001, activation: tanh",0.81,0.82,0.66,0.69,-,-
MLPClassifier,"max_iter: 100, learning_rate_init: 0.01, activation: tanh",0.81,0.83,0.64,0.73,-,-
MLPClassifier,"max_iter: 1000, learning_rate_init: 0.01, activation: tanh",0.75,0.94,0.42,0.92,lowest of its class,lowest of its class
